transaction_id,user_id,product_id,quantity,unit_price,total_amount,discount_applied,final_amount,payment_method,transaction_date,delivery_address,order_status,shipping_cost,delivery_date
txn_5b8c45f0,user_00378,prod_00073,2,1074.37,2148.74,80.2,2068.54,debit_card,2025-06-05 10:19:42,"Surabaya, Indonesia",pending,14.89,2025-06-11
txn_24679d1e,user_00555,prod_00327,1,751.17,751.17,113.96,637.21,debit_card,2025-06-23 10:19:42,"Surabaya, Indonesia",completed,15.28,2025-06-25
txn_fdc670d5,user_00771,prod_00222,2,1290.33,2580.66,303.64,2277.02,e_wallet,2025-05-06 10:19:42,"Makassar, Indonesia",pending,20.22,2025-05-09
txn_a1d28cea,user_00186,prod_00063,1,1436.92,1436.92,252.14,1184.78,credit_card,2025-07-22 10:19:42,"Bandung, Indonesia",cancelled,18.62,2025-07-28
txn_a47cd134,user_00334,prod_00438,1,636.85,636.85,31.04,605.81,e_wallet,2025-05-27 10:19:42,"Semarang, Indonesia",completed,22.98,2025-06-02
txn_6ba2da14,user_00639,prod_00247,1,78.49,78.49,10.27,68.22,debit_card,2025-06-09 10:19:42,"Palembang, Indonesia",pending,29.61,2025-06-12
txn_c770cc1c,user_00426,prod_00384,3,721.31,2163.93,84.45,2079.48,bank_transfer,2025-07-18 10:19:42,"Surabaya, Indonesia",completed,28.15,2025-07-22
txn_8b702481,user_00077,prod_00256,3,870.54,2611.62,247.19,2364.43,credit_card,2025-06-24 10:19:42,"Medan, Indonesia",processing,14.03,2025-06-26
txn_77f883f6,user_00375,prod_00159,2,67.42,134.84,22.59,112.25,bank_transfer,2025-07-25 10:19:42,"Depok, Indonesia",processing,27.24,2025-07-30
txn_77d9024c,user_00642,prod_00280,3,506.77,1520.31,53.24,1467.07,debit_card,2025-05-08 10:19:42,"Jakarta, Indonesia",processing,17.18,2025-05-11
txn_a7fb46bd,user_00270,prod_00490,2,1256.1,2512.2,117.71,2394.49,credit_card,2025-06-19 10:19:42,"Jakarta, Indonesia",completed,24.15,2025-06-21
txn_12e484fa,user_00597,prod_00292,3,1212.5,3637.5,41.2,3596.3,credit_card,2025-06-27 10:19:42,"Bekasi, Indonesia",pending,20.47,2025-07-03
txn_fc8fb155,user_00526,prod_00305,2,1185.07,2370.14,74.73,2295.41,debit_card,2025-06-04 10:19:42,"Medan, Indonesia",completed,24.64,2025-06-08
txn_06058de9,user_00349,prod_00302,2,104.53,209.06,14.96,194.1,credit_card,2025-07-15 10:19:42,"Bandung, Indonesia",cancelled,22.44,2025-07-18
txn_7c3a8efa,user_00554,prod_00480,1,408.33,408.33,15.3,393.03,credit_card,2025-05-11 10:19:42,"Semarang, Indonesia",completed,13.26,2025-05-18
txn_9f140db8,user_00403,prod_00228,1,80.59,80.59,9.81,70.78,credit_card,2025-05-05 10:19:42,"Bandung, Indonesia",completed,19.37,2025-05-12
txn_25c6eed0,user_00527,prod_00071,1,508.13,508.13,8.14,499.99,debit_card,2025-07-08 10:19:42,"Makassar, Indonesia",processing,19.26,2025-07-10
txn_0fe81d38,user_00378,prod_00045,2,399.8,799.6,94.47,705.13,bank_transfer,2025-05-05 10:19:42,"Surabaya, Indonesia",processing,20.38,2025-05-12
txn_699b1910,user_00285,prod_00291,3,251.8,755.4,66.12,689.28,bank_transfer,2025-05-13 10:19:42,"Makassar, Indonesia",processing,12.46,2025-05-15
txn_6f717e67,user_00760,prod_00355,3,414.91,1244.73,112.15,1132.58,e_wallet,2025-05-21 10:19:42,"Medan, Indonesia",completed,12.17,2025-05-26
txn_53ddf1c9,user_00871,prod_00078,2,733.29,1466.58,131.91,1334.67,debit_card,2025-06-23 10:19:42,"Bekasi, Indonesia",processing,27.85,2025-06-27
txn_1abdd414,user_00336,prod_00424,3,1294.43,3883.29,410.01,3473.28,e_wallet,2025-06-19 10:19:42,"Jakarta, Indonesia",completed,14.31,2025-06-25
txn_2ba9859f,user_00381,prod_00400,1,1885.04,1885.04,190.67,1694.37,credit_card,2025-05-30 10:19:42,"Makassar, Indonesia",completed,29.21,2025-06-05
txn_8a7c3f73,user_00833,prod_00195,3,1099.98,3299.94,241.6,3058.34,e_wallet,2025-06-11 10:19:42,"Medan, Indonesia",completed,18.95,2025-06-14
txn_2f1e7615,user_00768,prod_00119,2,480.47,960.94,31.91,929.03,e_wallet,2025-05-19 10:19:42,"Jakarta, Indonesia",completed,26.05,2025-05-21
txn_63b2c16d,user_00976,prod_00229,3,1204.39,3613.17,520.16,3093.01,e_wallet,2025-07-19 10:19:42,"Bandung, Indonesia",completed,13.95,2025-07-21
txn_dde883b0,user_00992,prod_00001,2,1300.15,2600.3,224.34,2375.96,e_wallet,2025-06-16 10:19:42,"Surabaya, Indonesia",pending,19.97,2025-06-18
txn_b89eb320,user_00604,prod_00422,3,1516.54,4549.62,238.67,4310.95,bank_transfer,2025-07-17 10:19:42,"Tangerang, Indonesia",completed,15.6,2025-07-20
txn_452977ae,user_00926,prod_00191,1,1212.45,1212.45,153.64,1058.81,credit_card,2025-06-27 10:19:42,"Bekasi, Indonesia",pending,20.56,2025-06-30
txn_bbef7c58,user_00346,prod_00146,2,429.23,858.46,54.79,803.67,debit_card,2025-06-09 10:19:42,"Makassar, Indonesia",cancelled,13.71,2025-06-15
txn_1785acea,user_00384,prod_00355,1,414.91,414.91,33.64,381.27,debit_card,2025-05-22 10:19:42,"Medan, Indonesia",pending,18.99,2025-05-29
txn_473431e8,user_00421,prod_00078,1,733.29,733.29,87.86,645.43,credit_card,2025-06-09 10:19:42,"Medan, Indonesia",completed,14.37,2025-06-16
txn_881565bf,user_00426,prod_00444,3,1029.61,3088.83,533.85,2554.98,credit_card,2025-07-30 10:19:42,"Surabaya, Indonesia",pending,26.77,2025-08-02
txn_694b1c17,user_00994,prod_00125,2,703.74,1407.48,202.63,1204.85,bank_transfer,2025-06-27 10:19:42,"Makassar, Indonesia",completed,17.02,2025-07-01
txn_ca8d2575,user_00696,prod_00249,1,271.93,271.93,18.88,253.05,credit_card,2025-05-15 10:19:42,"Makassar, Indonesia",completed,28.2,2025-05-21
txn_16b8c770,user_00408,prod_00367,2,544.16,1088.32,150.84,937.48,debit_card,2025-05-26 10:19:42,"Surabaya, Indonesia",pending,14.77,2025-06-01
txn_10e03895,user_00063,prod_00089,2,52.99,105.98,10.75,95.23,credit_card,2025-05-13 10:19:42,"Surabaya, Indonesia",pending,13.43,2025-05-18
txn_1ce990a2,user_00663,prod_00405,2,634.23,1268.46,124.54,1143.92,debit_card,2025-07-13 10:19:42,"Medan, Indonesia",completed,22.46,2025-07-15
txn_e54c8cd9,user_00308,prod_00047,3,1087.83,3263.49,623.08,2640.41,credit_card,2025-06-16 10:19:42,"Surabaya, Indonesia",completed,16.17,2025-06-21
txn_8c71a761,user_00385,prod_00436,1,1580.84,1580.84,201.87,1378.97,bank_transfer,2025-07-03 10:19:42,"Medan, Indonesia",completed,21.22,2025-07-06
txn_0bca5d1b,user_00331,prod_00090,1,701.65,701.65,67.19,634.46,e_wallet,2025-05-10 10:19:42,"Bekasi, Indonesia",pending,21.85,2025-05-15
txn_2894da0b,user_00169,prod_00143,2,821.93,1643.86,53.35,1590.51,e_wallet,2025-06-08 10:19:42,"Depok, Indonesia",processing,21.0,2025-06-10
txn_dc2c8181,user_00745,prod_00002,3,713.89,2141.67,65.56,2076.11,credit_card,2025-05-24 10:19:42,"Makassar, Indonesia",processing,23.81,2025-05-31
txn_b76993a1,user_00867,prod_00437,2,1348.39,2696.78,370.1,2326.68,bank_transfer,2025-07-13 10:19:42,"Jakarta, Indonesia",pending,19.01,2025-07-20
txn_ee1fcac1,user_00667,prod_00088,2,719.36,1438.72,46.25,1392.47,credit_card,2025-05-13 10:19:42,"Depok, Indonesia",completed,14.49,2025-05-15
txn_e1ee7f40,user_00582,prod_00303,2,923.89,1847.78,44.9,1802.88,debit_card,2025-07-17 10:19:42,"Bekasi, Indonesia",completed,12.17,2025-07-19
txn_306123ff,user_00378,prod_00207,1,1863.64,1863.64,182.6,1681.04,e_wallet,2025-05-09 10:19:42,"Surabaya, Indonesia",completed,15.79,2025-05-14
txn_2d64660b,user_00098,prod_00105,3,600.47,1801.41,236.29,1565.12,bank_transfer,2025-05-05 10:19:42,"Bekasi, Indonesia",pending,19.52,2025-05-11
txn_3e39401d,user_00979,prod_00106,1,1413.34,1413.34,105.61,1307.73,credit_card,2025-07-16 10:19:42,"Surabaya, Indonesia",processing,24.56,2025-07-19
txn_84b4762e,user_00823,prod_00257,1,453.73,453.73,45.33,408.4,debit_card,2025-06-15 10:19:42,"Bekasi, Indonesia",processing,25.36,2025-06-17
txn_58e7e0af,user_00821,prod_00177,3,572.56,1717.68,27.44,1690.24,debit_card,2025-07-06 10:19:42,"Depok, Indonesia",completed,18.46,2025-07-12
txn_a70636ef,user_00747,prod_00071,2,508.13,1016.26,104.56,911.7,credit_card,2025-07-08 10:19:42,"Depok, Indonesia",completed,26.61,2025-07-13
txn_351f900e,user_00233,prod_00361,2,595.47,1190.94,26.65,1164.29,bank_transfer,2025-06-26 10:19:42,"Tangerang, Indonesia",processing,18.69,2025-07-03
txn_c6196c78,user_00988,prod_00481,2,129.08,258.16,3.42,254.74,bank_transfer,2025-07-03 10:19:42,"Jakarta, Indonesia",processing,29.82,2025-07-05
txn_ced8814a,user_00985,prod_00026,2,1072.85,2145.7,114.36,2031.34,e_wallet,2025-07-22 10:19:42,"Bandung, Indonesia",completed,15.32,2025-07-25
txn_9e6f00e1,user_00329,prod_00120,2,1080.39,2160.78,147.47,2013.31,e_wallet,2025-07-19 10:19:42,"Medan, Indonesia",processing,15.83,2025-07-23
txn_c5fa7943,user_00013,prod_00246,1,784.98,784.98,78.82,706.16,e_wallet,2025-05-10 10:19:42,"Surabaya, Indonesia",completed,13.44,2025-05-14
txn_f73bad0b,user_00071,prod_00445,1,439.56,439.56,43.38,396.18,bank_transfer,2025-06-22 10:19:42,"Medan, Indonesia",processing,28.96,2025-06-27
txn_9656efcd,user_00485,prod_00084,1,1584.23,1584.23,300.46,1283.77,e_wallet,2025-07-29 10:19:42,"Surabaya, Indonesia",completed,16.32,2025-08-02
txn_3b972bbe,user_00905,prod_00232,1,925.91,925.91,128.74,797.17,debit_card,2025-05-13 10:19:42,"Bekasi, Indonesia",pending,11.77,2025-05-16
txn_bad36253,user_00777,prod_00423,2,1102.37,2204.74,419.89,1784.85,credit_card,2025-07-29 10:19:42,"Palembang, Indonesia",processing,20.35,2025-07-31
txn_cf2b6982,user_00354,prod_00088,2,719.36,1438.72,61.75,1376.97,e_wallet,2025-07-26 10:19:42,"Palembang, Indonesia",cancelled,24.93,2025-08-01
txn_9c7ad441,user_00131,prod_00185,2,1305.61,2611.22,479.75,2131.47,credit_card,2025-06-01 10:19:42,"Surabaya, Indonesia",completed,15.78,2025-06-08
txn_b6b487df,user_00442,prod_00408,2,889.17,1778.34,179.56,1598.78,debit_card,2025-07-05 10:19:42,"Medan, Indonesia",processing,28.34,2025-07-08
txn_e241fa21,user_00391,prod_00219,2,1655.93,3311.86,116.96,3194.9,e_wallet,2025-05-30 10:19:42,"Bandung, Indonesia",pending,14.12,2025-06-05
txn_f351ae8b,user_00573,prod_00029,1,700.15,700.15,74.29,625.86,bank_transfer,2025-06-23 10:19:42,"Tangerang, Indonesia",completed,28.22,2025-06-27
txn_61cdf004,user_00743,prod_00056,1,109.27,109.27,7.63,101.64,debit_card,2025-07-27 10:19:42,"Bandung, Indonesia",processing,13.64,2025-07-30
txn_cc1e071f,user_00777,prod_00039,2,646.77,1293.54,138.19,1155.35,bank_transfer,2025-05-24 10:19:42,"Palembang, Indonesia",completed,20.13,2025-05-26
txn_7c77e789,user_00394,prod_00398,1,1084.38,1084.38,136.0,948.38,credit_card,2025-05-11 10:19:42,"Tangerang, Indonesia",cancelled,15.17,2025-05-16
txn_72507d69,user_00224,prod_00091,1,167.41,167.41,11.62,155.79,e_wallet,2025-07-12 10:19:42,"Tangerang, Indonesia",processing,12.34,2025-07-15
txn_0e63da38,user_00208,prod_00266,1,1104.49,1104.49,169.63,934.86,bank_transfer,2025-07-19 10:19:42,"Surabaya, Indonesia",pending,19.44,2025-07-24
txn_9376d882,user_00565,prod_00288,3,1741.78,5225.34,200.2,5025.14,debit_card,2025-07-07 10:19:42,"Depok, Indonesia",completed,10.49,2025-07-09
txn_0cc73b09,user_00283,prod_00053,1,809.55,809.55,140.1,669.45,debit_card,2025-06-17 10:19:42,"Makassar, Indonesia",processing,21.07,2025-06-21
txn_35d9df9f,user_00213,prod_00118,1,462.44,462.44,56.75,405.69,bank_transfer,2025-06-11 10:19:42,"Bandung, Indonesia",completed,13.38,2025-06-18
txn_26c9cc67,user_00631,prod_00497,1,109.84,109.84,5.07,104.77,e_wallet,2025-07-11 10:19:42,"Tangerang, Indonesia",pending,14.8,2025-07-17
txn_ee66817e,user_00473,prod_00239,3,871.12,2613.36,132.67,2480.69,e_wallet,2025-05-06 10:19:42,"Makassar, Indonesia",processing,14.71,2025-05-12
txn_38c8ec86,user_00033,prod_00439,1,875.96,875.96,170.0,705.96,e_wallet,2025-06-26 10:19:42,"Palembang, Indonesia",processing,11.25,2025-06-30
txn_32254d58,user_00216,prod_00271,3,593.5,1780.5,345.71,1434.79,bank_transfer,2025-07-19 10:19:42,"Tangerang, Indonesia",completed,16.34,2025-07-23
txn_62d31119,user_00758,prod_00257,2,453.73,907.46,18.5,888.96,bank_transfer,2025-06-02 10:19:42,"Depok, Indonesia",completed,25.88,2025-06-06
txn_fd6deb1c,user_00759,prod_00020,2,659.29,1318.58,170.38,1148.2,credit_card,2025-06-25 10:19:42,"Tangerang, Indonesia",completed,15.81,2025-06-29
txn_0176834f,user_00377,prod_00305,1,1185.07,1185.07,75.94,1109.13,e_wallet,2025-06-26 10:19:42,"Bekasi, Indonesia",processing,17.49,2025-07-02
txn_ea1628a4,user_00661,prod_00270,3,1336.19,4008.57,167.7,3840.87,debit_card,2025-05-30 10:19:42,"Semarang, Indonesia",cancelled,11.85,2025-06-04
txn_1352deca,user_00483,prod_00467,3,233.53,700.59,109.69,590.9,e_wallet,2025-05-17 10:19:42,"Makassar, Indonesia",pending,20.16,2025-05-21
txn_984c65b9,user_00131,prod_00350,3,1158.31,3474.93,427.92,3047.01,e_wallet,2025-05-20 10:19:42,"Surabaya, Indonesia",completed,20.47,2025-05-24
txn_d51bd69a,user_00244,prod_00260,3,1034.64,3103.92,280.73,2823.19,debit_card,2025-07-15 10:19:42,"Tangerang, Indonesia",processing,22.29,2025-07-20
txn_fc7e786b,user_00796,prod_00378,1,706.61,706.61,72.23,634.38,debit_card,2025-06-13 10:19:42,"Tangerang, Indonesia",processing,29.53,2025-06-20
txn_2be5e40d,user_00865,prod_00206,1,72.86,72.86,4.33,68.53,credit_card,2025-05-14 10:19:42,"Bekasi, Indonesia",cancelled,28.46,2025-05-16
txn_0375a126,user_00589,prod_00272,3,1349.88,4049.64,402.72,3646.92,credit_card,2025-07-02 10:19:42,"Bekasi, Indonesia",processing,14.72,2025-07-04
txn_5be232ec,user_00862,prod_00213,3,1270.95,3812.85,745.16,3067.69,e_wallet,2025-06-21 10:19:42,"Bekasi, Indonesia",processing,24.96,2025-06-24
txn_f92762a8,user_00471,prod_00220,2,348.33,696.66,123.44,573.22,debit_card,2025-06-13 10:19:42,"Medan, Indonesia",completed,17.81,2025-06-16
txn_9c27a9a2,user_00422,prod_00336,3,375.05,1125.15,7.77,1117.38,credit_card,2025-06-20 10:19:42,"Bandung, Indonesia",completed,24.7,2025-06-22
txn_61e6c3f0,user_00047,prod_00077,3,657.12,1971.36,66.58,1904.78,e_wallet,2025-06-06 10:19:42,"Surabaya, Indonesia",completed,12.67,2025-06-13
txn_055d1f53,user_00409,prod_00273,1,970.43,970.43,126.27,844.16,credit_card,2025-07-06 10:19:42,"Makassar, Indonesia",completed,25.73,2025-07-09
txn_3cc018a8,user_00195,prod_00407,1,1400.91,1400.91,69.28,1331.63,credit_card,2025-07-12 10:19:42,"Surabaya, Indonesia",processing,29.37,2025-07-19
txn_4b11ad14,user_00662,prod_00325,3,969.46,2908.38,146.81,2761.57,bank_transfer,2025-05-07 10:19:42,"Bekasi, Indonesia",processing,28.15,2025-05-09
txn_371958da,user_00925,prod_00418,1,436.59,436.59,40.77,395.82,credit_card,2025-05-21 10:19:42,"Bandung, Indonesia",processing,22.43,2025-05-23
txn_9184e336,user_00655,prod_00399,3,406.44,1219.32,194.78,1024.54,debit_card,2025-06-24 10:19:42,"Bekasi, Indonesia",pending,19.35,2025-07-01
txn_9cabc9a7,user_00146,prod_00224,1,964.47,964.47,115.63,848.84,debit_card,2025-06-02 10:19:42,"Tangerang, Indonesia",processing,14.55,2025-06-09
txn_c4673729,user_00320,prod_00461,3,1538.86,4616.58,482.73,4133.85,bank_transfer,2025-05-29 10:19:42,"Bekasi, Indonesia",completed,27.85,2025-06-05
txn_429a46d7,user_00589,prod_00233,1,655.54,655.54,53.49,602.05,bank_transfer,2025-06-23 10:19:42,"Bekasi, Indonesia",pending,21.37,2025-06-30
txn_426507cb,user_00320,prod_00187,3,718.21,2154.63,246.46,1908.17,e_wallet,2025-05-05 10:19:42,"Bekasi, Indonesia",completed,13.6,2025-05-11
txn_4852e56e,user_00614,prod_00180,1,1169.89,1169.89,183.05,986.84,debit_card,2025-06-26 10:19:42,"Semarang, Indonesia",processing,19.48,2025-06-29
txn_70e902c8,user_00985,prod_00175,2,584.85,1169.7,125.64,1044.06,e_wallet,2025-06-13 10:19:42,"Bandung, Indonesia",completed,15.9,2025-06-18
txn_81b6559f,user_00502,prod_00106,2,1413.34,2826.68,458.13,2368.55,debit_card,2025-05-29 10:19:42,"Jakarta, Indonesia",completed,18.76,2025-06-02
txn_085b0464,user_00250,prod_00076,2,386.94,773.88,65.05,708.83,credit_card,2025-06-06 10:19:42,"Makassar, Indonesia",processing,21.63,2025-06-13
txn_f91ebd0a,user_00436,prod_00356,2,1023.52,2047.04,24.32,2022.72,bank_transfer,2025-07-15 10:19:42,"Depok, Indonesia",processing,20.32,2025-07-20
txn_856e8b75,user_00896,prod_00230,2,1080.84,2161.68,111.66,2050.02,debit_card,2025-06-02 10:19:42,"Depok, Indonesia",completed,29.36,2025-06-05
txn_2a1fadff,user_00369,prod_00213,1,1270.95,1270.95,64.41,1206.54,bank_transfer,2025-07-17 10:19:42,"Palembang, Indonesia",completed,18.13,2025-07-19
txn_b06de340,user_00219,prod_00121,1,818.09,818.09,20.52,797.57,credit_card,2025-07-30 10:19:42,"Makassar, Indonesia",processing,18.44,2025-08-04
txn_a44ea2d8,user_00651,prod_00426,2,94.05,188.1,7.58,180.52,bank_transfer,2025-05-31 10:19:42,"Bandung, Indonesia",completed,21.31,2025-06-03
txn_5fb198cf,user_00126,prod_00107,3,332.89,998.67,134.02,864.65,bank_transfer,2025-07-27 10:19:42,"Tangerang, Indonesia",completed,26.49,2025-07-30
txn_68ebad0b,user_00105,prod_00066,2,291.08,582.16,109.65,472.51,credit_card,2025-06-27 10:19:42,"Semarang, Indonesia",pending,20.91,2025-06-30
txn_0980ccf0,user_00423,prod_00442,2,1143.76,2287.52,375.83,1911.69,debit_card,2025-06-05 10:19:42,"Medan, Indonesia",processing,10.47,2025-06-10
txn_b7d344f2,user_00703,prod_00193,2,746.55,1493.1,55.82,1437.28,bank_transfer,2025-06-26 10:19:42,"Tangerang, Indonesia",cancelled,17.13,2025-07-02
txn_c6cf2017,user_00816,prod_00115,1,1496.81,1496.81,114.59,1382.22,credit_card,2025-07-17 10:19:42,"Jakarta, Indonesia",pending,22.43,2025-07-22
txn_ec38eb9d,user_00007,prod_00252,3,1203.6,3610.8,564.83,3045.97,debit_card,2025-05-01 10:19:42,"Palembang, Indonesia",pending,12.55,2025-05-06
txn_5f714ddf,user_00181,prod_00016,2,1789.39,3578.78,669.2,2909.58,credit_card,2025-06-25 10:19:42,"Semarang, Indonesia",processing,29.19,2025-07-01
txn_af35ef2d,user_00118,prod_00352,3,1143.38,3430.14,192.82,3237.32,credit_card,2025-06-23 10:19:42,"Tangerang, Indonesia",completed,19.17,2025-06-26
txn_6f0357ca,user_00337,prod_00007,2,232.39,464.78,10.92,453.86,e_wallet,2025-06-15 10:19:42,"Medan, Indonesia",processing,16.1,2025-06-17
txn_e592def1,user_00892,prod_00157,2,973.18,1946.36,304.99,1641.37,debit_card,2025-07-18 10:19:42,"Semarang, Indonesia",cancelled,22.68,2025-07-25
txn_805f4267,user_00631,prod_00128,2,969.31,1938.62,331.76,1606.86,credit_card,2025-07-27 10:19:42,"Tangerang, Indonesia",completed,20.53,2025-07-31
txn_e918cbc7,user_00634,prod_00413,2,587.51,1175.02,40.4,1134.62,bank_transfer,2025-05-10 10:19:42,"Semarang, Indonesia",completed,22.21,2025-05-16
txn_c518ae61,user_00093,prod_00170,3,1094.5,3283.5,164.08,3119.42,bank_transfer,2025-05-28 10:19:42,"Palembang, Indonesia",completed,11.1,2025-06-02
txn_ee632b55,user_00875,prod_00420,3,342.25,1026.75,117.61,909.14,e_wallet,2025-06-16 10:19:42,"Jakarta, Indonesia",pending,16.77,2025-06-18
txn_04607724,user_00934,prod_00239,2,871.12,1742.24,34.15,1708.09,bank_transfer,2025-07-17 10:19:42,"Bandung, Indonesia",processing,13.62,2025-07-20
txn_ea7f9f4c,user_00658,prod_00233,3,655.54,1966.62,52.64,1913.98,bank_transfer,2025-07-28 10:19:42,"Medan, Indonesia",completed,12.26,2025-08-01
txn_74c9819d,user_00353,prod_00420,3,342.25,1026.75,159.13,867.62,e_wallet,2025-05-03 10:19:42,"Surabaya, Indonesia",processing,21.82,2025-05-10
txn_56baf0a3,user_00301,prod_00318,3,1460.54,4381.62,98.52,4283.1,debit_card,2025-06-16 10:19:42,"Surabaya, Indonesia",pending,11.21,2025-06-19
txn_58d3a456,user_00968,prod_00317,2,297.91,595.82,0.36,595.46,bank_transfer,2025-05-03 10:19:42,"Surabaya, Indonesia",pending,23.58,2025-05-09
txn_f16d83fd,user_00276,prod_00348,1,1692.08,1692.08,108.02,1584.06,e_wallet,2025-07-14 10:19:42,"Makassar, Indonesia",completed,28.78,2025-07-17
txn_77478ea4,user_00913,prod_00164,2,678.94,1357.88,172.25,1185.63,bank_transfer,2025-06-09 10:19:42,"Bandung, Indonesia",completed,24.0,2025-06-15
txn_862812b5,user_00914,prod_00321,2,1158.92,2317.84,2.98,2314.86,e_wallet,2025-06-13 10:19:42,"Semarang, Indonesia",pending,18.97,2025-06-15
txn_010bf7c8,user_00650,prod_00035,2,459.89,919.78,12.89,906.89,e_wallet,2025-05-06 10:19:42,"Tangerang, Indonesia",processing,24.36,2025-05-09
txn_449b24b6,user_00750,prod_00431,2,490.23,980.46,175.46,805.0,bank_transfer,2025-05-19 10:19:42,"Medan, Indonesia",pending,15.29,2025-05-23
txn_1a304e45,user_00244,prod_00401,1,1037.06,1037.06,184.32,852.74,credit_card,2025-05-01 10:19:42,"Tangerang, Indonesia",completed,16.99,2025-05-04
txn_cfef5298,user_00439,prod_00229,1,1204.39,1204.39,136.18,1068.21,debit_card,2025-06-19 10:19:42,"Tangerang, Indonesia",pending,19.04,2025-06-25
txn_c7ad554b,user_00340,prod_00464,1,1301.99,1301.99,132.22,1169.77,debit_card,2025-06-15 10:19:42,"Depok, Indonesia",pending,26.38,2025-06-20
txn_09aa0005,user_00768,prod_00176,2,778.57,1557.14,36.97,1520.17,debit_card,2025-07-15 10:19:42,"Jakarta, Indonesia",processing,29.51,2025-07-22
txn_6400875a,user_00578,prod_00153,3,601.72,1805.16,198.76,1606.4,bank_transfer,2025-07-21 10:19:42,"Tangerang, Indonesia",completed,21.12,2025-07-23
txn_5cc07673,user_00634,prod_00336,2,375.05,750.1,44.22,705.88,debit_card,2025-05-01 10:19:42,"Semarang, Indonesia",pending,14.39,2025-05-04
txn_71e4e0d7,user_00729,prod_00116,3,1104.37,3313.11,65.34,3247.77,bank_transfer,2025-05-12 10:19:42,"Makassar, Indonesia",completed,12.81,2025-05-19
txn_e02a55be,user_00246,prod_00126,3,760.77,2282.31,452.46,1829.85,e_wallet,2025-05-26 10:19:42,"Tangerang, Indonesia",processing,16.13,2025-05-31
txn_76f051fb,user_00848,prod_00321,3,1158.92,3476.76,656.53,2820.23,bank_transfer,2025-06-02 10:19:42,"Palembang, Indonesia",pending,29.06,2025-06-04
txn_c01009fa,user_00375,prod_00254,3,1288.26,3864.78,270.63,3594.15,credit_card,2025-06-22 10:19:42,"Depok, Indonesia",pending,19.34,2025-06-25
txn_260ec973,user_00399,prod_00071,3,508.13,1524.39,107.15,1417.24,bank_transfer,2025-07-26 10:19:42,"Bekasi, Indonesia",processing,27.34,2025-08-01
txn_69bbfb2c,user_00540,prod_00467,3,233.53,700.59,127.3,573.29,bank_transfer,2025-05-28 10:19:42,"Depok, Indonesia",completed,19.16,2025-06-02
txn_5eaef8d2,user_00574,prod_00425,2,1026.07,2052.14,253.33,1798.81,debit_card,2025-07-18 10:19:42,"Semarang, Indonesia",pending,18.71,2025-07-21
